"codigo","descricao","setor","termos_busca","observacao"
"DEP-2.13","DEP.2.13 A4 XV","","DEP-2.13 DEP.2.13 A4 XV",""
"DEP-2.14","DEP.2.14 A4 XVI","","DEP-2.14 DEP.2.14 A4 XVI",""
"DEP-2.15","DEP.2.15 A4 XX","","DEP-2.15 DEP.2.15 A4 XX",""
"DEP-2.16","DEP.2.16 A4 XXI","","DEP-2.16 DEP.2.16 A4 XXI",""
"DEP-2.17","DEP.2.17 A4 XIX","","DEP-2.17 DEP.2.17 A4 XIX",""
"DEP-2.18","DEP.2.18 A4 XXI","","DEP-2.18 DEP.2.18 A4 XXI",""
"DEP-3.21","DEP.3.21 A4 XXIII","","DEP-3.21 DEP.3.21 A4 XXIII",""
"DEP-3.22","DEP.3.22 A4 XXV","","DEP-3.22 DEP.3.22 A4 XXV",""
"DEP-3.23","DEP.3.23 A4 XXIV","","DEP-3.23 DEP.3.23 A4 XXIV",""
"DEP-3.24","DEP.3.24 A4 XXVI","","DEP-3.24 DEP.3.24 A4 XXVI",""
"DEP-3.25","DEP.3.25 A4 XXVIII","","DEP-3.25 DEP.3.25 A4 XXVIII",""
"DEP-3.26","DEP.3.26","","DEP-3.26 DEP.3.26",""
"DEP-3.27","DEP.3.27 A4 XXVII","","DEP-3.27 DEP.3.27 A4 XXVII",""
"DEP-3.28","DEP.3.28 A4 XXX","","DEP-3.28 DEP.3.28 A4 XXX",""
"DEP-4.1","DEPENADEIRA 4.1 B12","","DEP-4.1 DEPENADEIRA 4.1 B12",""
"DEP-4.2","DEPENADEIRA 4.2 B12","","DEP-4.2 DEPENADEIRA 4.2 B12",""
"DEP-4.3","DEPENADEIRA 4.3 B12","","DEP-4.3 DEPENADEIRA 4.3 B12",""
"DEP-4.4","DEPENADEIRA 4.4 B12","","DEP-4.4 DEPENADEIRA 4.4 B12",""
"DEP-4.5","DEPENADEIRA 4.5 B12","","DEP-4.5 DEPENADEIRA 4.5 B12",""
"DEP-4.6","DEPENADEIRA 4.6 B12","","DEP-4.6 DEPENADEIRA 4.6 B12",""
"DEP-4.7","DEPENADEIRA 4.7 B12","","DEP-4.7 DEPENADEIRA 4.7 B12",""
"DEP-4.8","DEPENADEIRA 4.8 B12","","DEP-4.8 DEPENADEIRA 4.8 B12",""
"M 1.1","PLATAFORMA 1 A5 LONA PRETA","","M 1.1 PLATAFORMA 1 A5 LONA PRETA",""
"M 2.1","PLATAFORMA 4 A5 PENDURA","","M 2.1 PLATAFORMA 4 A5 PENDURA",""
"M 2.2","PLATAFORMA 2 A5 CURVA","","M 2.2 PLATAFORMA 2 A5 CURVA",""
"M 3.2","3.2 A5","","M 3.2 3.2 A5",""
"M 3.4","PLATAFORMA 5 A5 SAIDA PENDURA","","M 3.4 PLATAFORMA 5 A5 SAIDA PENDURA",""
"VEN03.04","VENTILADOR DEPENAGEM PROX CHILLER","","VEN03.04 VENTILADOR DEPENAGEM PROX CHILLER",""
"VEN 3.5","VENTILADOR SIF DEPENAGEM CIRCULACAO","","VEN 3.5 VENTILADOR SIF DEPENAGEM CIRCULACAO",""
"M 5.1","SERRA SANGRIA 1 SAN-00.01 A4 II","","M 5.1 SERRA SANGRIA 1 SAN-00.01 A4 II",""
"M 5.2","SANGRIA SAN-00.02 A4","","M 5.2 SANGRIA SAN-00.02 A4",""
"M 5.3","NOREA PENDURA","","M 5.3 NOREA PENDURA",""
"M 5.4","ESTEIRA 6.1A POR 1A A4","","M 5.4 ESTEIRA 6.1A POR 1A A4",""
"M 6.1","ESTEIRA 6.1B DE PATA SAIDA TRANSFERENCIA","","M 6.1 ESTEIRA 6.1B DE PATA SAIDA TRANSFERENCIA",""
"M 6.2","GRUPO VEN-05.02 E VEN-05.03","","M 6.2 GRUPO VEN-05.02 E VEN-05.03",""
"M 6.3","NOREA EVISCERACAO","","M 6.3 NOREA EVISCERACAO",""
"M 6.30","BBA SANGUE I SANGRIA B3","","M 6.30 BBA SANGUE I SANGRIA B3",""
"M 6.31","BBA SANGUE 2 DEP A4 XXXII","","M 6.31 BBA SANGUE 2 DEP A4 XXXII",""
"M 6.33","LAV. DE GANCHO PLAT. A4 XXXIII","","M 6.33 LAV. DE GANCHO PLAT. A4 XXXIII",""
"M 6.34","BORRIFADOR ESCAL. 1 A4 XXXIV","","M 6.34 BORRIFADOR ESCAL. 1 A4 XXXIV",""
"M 6.35","BORRIFADOR ESCAL. 2 A4 XXXV","","M 6.35 BORRIFADOR ESCAL. 2 A4 XXXV",""
"M 6.36","RESERVA","","M 6.36 RESERVA",""
"M 6.37","ESTEIRA CHILLER PE E SCALD. A4 XXXVII","","M 6.37 ESTEIRA CHILLER PE E SCALD. A4 XXXVII",""
"M 6.38","ESTEIRA 6.38 A13 ENTRADA TRANSFERENCIA","","M 6.38 ESTEIRA 6.38 A13 ENTRADA TRANSFERENCIA",""
"M 6.39","ESTEIRA 6.39 A13 SAIDA TRANSFERENCIA","","M 6.39 ESTEIRA 6.39 A13 SAIDA TRANSFERENCIA",""
"M 6.40","ESTEIRA 6.40 A13 SAIDA DA CAMARA","","M 6.40 ESTEIRA 6.40 A13 SAIDA DA CAMARA",""
"M 7.1","FORCADOR SALA DE PLS A4 XVIII","","M 7.1 FORCADOR SALA DE PLS A4 XVIII",""
"M 7.2","ESTEIRA ESCALDADOR A5 VI","","M 7.2 ESTEIRA ESCALDADOR A5 VI",""
"M 7.3","DERRUBADOR DE PATAS 1 A5","","M 7.3 DERRUBADOR DE PATAS 1 A5",""
"M 7.4","ESTEIRA DO DIF CONDICIONAL A5","","M 7.4 ESTEIRA DO DIF CONDICIONAL A5",""
"M 7.5","ESTEIRA SELECAO PE","","M 7.5 ESTEIRA SELECAO PE",""
"M 7.6","ESTEIRA PCC A12","","M 7.6 ESTEIRA PCC A12",""
"M 8.1","DESARMADOR DE PATAS 2 LIMPEZA","","M 8.1 DESARMADOR DE PATAS 2 LIMPEZA",""
"M 8.2","ESTEIRA DO DIF AS XI DESCARTE","","M 8.2 ESTEIRA DO DIF AS XI DESCARTE",""
"M 8.3","ESTEIRA ELEVACAO CONDICIONADA EVISCERACAO","","M 8.3 ESTEIRA ELEVACAO CONDICIONADA EVISCERACAO",""
"M 8.7","INSUFLADOR EVISCERACAO 01 B4","","M 8.7 INSUFLADOR EVISCERACAO 01 B4",""
"M 8.8","8.8 B4 II","","M 8.8 8.8 B4 II",""
"M 8.9","VENTILADOR A 8.16","","M 8.9 VENTILADOR A 8.16",""
"M 8.10","EXAUSTOR EVISCERACAO B4 IV","","M 8.10 EXAUSTOR EVISCERACAO B4 IV",""
"M 8.11","EXAUSTOR CAFE","","M 8.11 EXAUSTOR CAFE",""
"M 8.14","INSUFLADOR TANQUE ESCALDAGEM II","","M 8.14 INSUFLADOR TANQUE ESCALDAGEM II",""
"M 8.15","EXAUSTOR EVISCERACAO B4 IX","","M 8.15 EXAUSTOR EVISCERACAO B4 IX",""
"M 8.16","EXAUSTOR EVISCERACAO B4 X","","M 8.16 EXAUSTOR EVISCERACAO B4 X",""
"M 8.17","EXAUSTOR CLOACA B4 XI","","M 8.17 EXAUSTOR CLOACA B4 XI",""
"M 8.18","EXAUSTOR SAIDA ESCALDAGEM 04 B4","","M 8.18 EXAUSTOR SAIDA ESCALDAGEM 04 B4",""
"M 8.19","EXAUSTOR DA EXTRATORA DE CALOS","","M 8.19 EXAUSTOR DA EXTRATORA DE CALOS",""
"M 8.20","INSUFLADOR EVOCACAO B4 XIV","","M 8.20 INSUFLADOR EVOCACAO B4 XIV",""
"M 8.21","SEM USO","","M 8.21 SEM USO",""
"M 8.22","SEM USO","","M 8.22 SEM USO",""
"M 8.23","SEM USO","","M 8.23 SEM USO",""
"M 8.24","SEM USO","","M 8.24 SEM USO",""
"EST6.41","ESTEIRA PE 11.1 A09","","EST6.41 ESTEIRA PE 11.1 A09",""
"EST16.41","ESTEIRA PE AS XI DESCARTE","","EST16.41 ESTEIRA PE AS XI DESCARTE",""
"EST06.42","A20.02 ESTEIRA 06.42 AC","","EST06.42 A20.02 ESTEIRA 06.42 AC",""
"EST06.43","A20.08 ESTEIRA 06.43 AC","","EST06.43 A20.08 ESTEIRA 06.43 AC",""
"M 9.2","NOREA DO DIF A5 XIII","","M 9.2 NOREA DO DIF A5 XIII",""
"M 9.3","NOREA DO PCC A5 XIV","","M 9.3 NOREA DO PCC A5 XIV",""
"M 9.4","B-16 SOPRADOR CHILLER E","","M 9.4 B-16 SOPRADOR CHILLER E",""
"M 9.5A","ESTEIRA REPINDURA A9.5 A5","","M 9.5A ESTEIRA REPINDURA A9.5 A5",""
"M 9.5B","ESTEIRA REPINDURA 9.5B A5","","M 9.5B ESTEIRA REPINDURA 9.5B A5",""
"M 9.6","SATI","","M 9.6 SATI",""
"M 9.7","9.7 B4","","M 9.7 9.7 B4",""
"M 9.8","SATI","","M 9.8 SATI",""
"M 9.10","VENTILADOR CHILLER ER B4","","M 9.10 VENTILADOR CHILLER ER B4",""
"M 9.11","VENTILADOR CHILLER ER B4","","M 9.11 VENTILADOR CHILLER ER B4",""
"M 9.12","VENTILADOR CHILLER ER B4","","M 9.12 VENTILADOR CHILLER ER B4",""
"M 9.13","VENTILADOR CHILLER ER B4","","M 9.13 VENTILADOR CHILLER ER B4",""
"M 9.14","VENTILADOR CHILLER ER B4","","M 9.14 VENTILADOR CHILLER ER B4",""
"M 9.15","VENTILADOR CHILLER ER B4","","M 9.15 VENTILADOR CHILLER ER B4",""
"M 9.16","VENTILADOR CHILLER ER B4","","M 9.16 VENTILADOR CHILLER ER B4",""
"M 9.17","VENTILADOR CHILLER ER B4","","M 9.17 VENTILADOR CHILLER ER B4",""
"M 9.18","VENTILADOR CHILLER ER B4","","M 9.18 VENTILADOR CHILLER ER B4",""
"M 9.19","VENTILADOR CHILLER ER B4","","M 9.19 VENTILADOR CHILLER ER B4",""
"M 9.20","VENTILADOR CHILLER ER B4","","M 9.20 VENTILADOR CHILLER ER B4",""
"M 9.21","GIRAFA DESCARGA AITE PORTA A9","","M 9.21 GIRAFA DESCARGA AITE PORTA A9",""
"M 9.22","ESTEIRA SAIDA CONDICIONAL A9","","M 9.22 ESTEIRA SAIDA CONDICIONAL A9",""
"M 9.23","CHILLER 01 A9","","M 9.23 CHILLER 01 A9",""
"M 9.24","SATI","","M 9.24 SATI",""
"M 9.25","CHILLER 02 A10","","M 9.25 CHILLER 02 A10",""
"M 9.27","TURBINA CHILLER B4 CONDICIONAL","","M 9.27 TURBINA CHILLER B4 CONDICIONAL",""
"M 9.28","TURBINA CHILLER B4","","M 9.28 TURBINA CHILLER B4",""
"M 9.29","EXT-0001 9.29 B4","","M 9.29 EXT-0001 9.29 B4",""
"M 9.30","ESTEIRA DESOSSA 9.30 B16","","M 9.30 ESTEIRA DESOSSA 9.30 B16",""
"M 9.31","ESTEIRA SUP. DESOSSA HOB B4","","M 9.31 ESTEIRA SUP. DESOSSA HOB B4",""
"M 9.32","ESTEIRA DE DISCOS 5A B4","","M 9.32 ESTEIRA DE DISCOS 5A B4",""
"M 9.33","ESTEIRA ELEVATOROA 9.33 B4","","M 9.33 ESTEIRA ELEVATOROA 9.33 B4",""
"M 9.34","ESTEIRA SUP. DESOSSA ANT B4","","M 9.34 ESTEIRA SUP. DESOSSA ANT B4",""
"M 9.35","TURBINA PRE-CHILLER 1 B16","","M 9.35 TURBINA PRE-CHILLER 1 B16",""
"M 9.36","TURBINA PRE-CHILLER 2 B16","","M 9.36 TURBINA PRE-CHILLER 2 B16",""
"M 9.37","TURBINA PRE-CHILLER 3 B16","","M 9.37 TURBINA PRE-CHILLER 3 B16",""
"M 9.38","VAGO ANTIGO BORBUHO ESCALDAGEM","","M 9.38 VAGO ANTIGO BORBUHO ESCALDAGEM",""
"M 9.39","BOMBA CMS 03 B14","","M 9.39 BOMBA CMS 03 B14",""
"M 9.40","VAGO B16","","M 9.40 VAGO B16",""
"M 9.41","TURBINA PRE-CHILLER 6 B16","","M 9.41 TURBINA PRE-CHILLER 6 B16",""
"M 9.42","TURBINA PRE-CHILLER 7 B16","","M 9.42 TURBINA PRE-CHILLER 7 B16",""
"M 9.93","PRE CHILLER 9.93","","M 9.93 PRE CHILLER 9.93",""
"M 9.94","SATELITE PRE CHILLER 9.94","","M 9.94 SATELITE PRE CHILLER 9.94",""
"BBA09.08","BOMBA REUSO CHILLER 02 B14","","BBA09.08 BOMBA REUSO CHILLER 02 B14",""
"EST-09.05","A22-14 ESTEIRA REPRENDURA 9.05C","","EST-09.05 A22-14 ESTEIRA REPRENDURA 9.05C",""
"CHI-00.03","CHILLER DE PES B","","CHI-00.03 CHILLER DE PES B",""
"CHI-00.04","CHILLER DE PES A","","CHI-00.04 CHILLER DE PES A",""
"CHI-00.05","CHILLER CABECA","","CHI-00.05 CHILLER CABECA",""
"CHI-00.06","CHILLER DE MOELAS","","CHI-00.06 CHILLER DE MOELAS",""
"CHI-00.07","CHILLER CORACAO","","CHI-00.07 CHILLER CORACAO",""
"CHI-00.08","CHILLER FIGADO","","CHI-00.08 CHILLER FIGADO",""
"10.13","ELEVATORIA DORSO PARA CMS A9","","10.13 ELEVATORIA DORSO PARA CMS A9",""
"M 10.7","VENTILADOR PAREDE EVISCERACAO","","M 10.7 VENTILADOR PAREDE EVISCERACAO",""
"M 10.8","VENTILADOR SALA CORTES A7","","M 10.8 VENTILADOR SALA CORTES A7",""
"M 10.9","10.09 PORTA A09","","M 10.9 10.09 PORTA A09",""
"M 10.10","ESTEIRA PADRAO EMBALAGEM A09","","M 10.10 ESTEIRA PADRAO EMBALAGEM A09",""
"M 10.11","ESTEIRA DE PES 10.11 CML COB A09","","M 10.11 ESTEIRA DE PES 10.11 CML COB A09",""
"M 10.12","EXAUSTOR PRE CHILLER","","M 10.12 EXAUSTOR PRE CHILLER",""
"M 10.14","ESTEIRA CHILLER CONDICIONAL","","M 10.14 ESTEIRA CHILLER CONDICIONAL",""
"M 10.15","ESTEIRA SAIDA CONDICIONAL A9","","M 10.15 ESTEIRA SAIDA CONDICIONAL A9",""
"M 10.16","A9 SEM INVERSOR NO LOCAL","","M 10.16 A9 SEM INVERSOR NO LOCAL",""
"M 10.17","ESTEIRA PATAS ANTIGA NOVA","","M 10.17 ESTEIRA PATAS ANTIGA NOVA",""
"M 10.18","NORIA CAIXA DE PAPELAO A10","","M 10.18 NORIA CAIXA DE PAPELAO A10",""
"M 10.19","NORIA CAIXA PLASTICA A10","","M 10.19 NORIA CAIXA PLASTICA A10",""
"M 10.20","TURBINA MIUDOS PA7 DI-4","","M 10.20 TURBINA MIUDOS PA7 DI-4",""
"M 10.21","TURBINA MIUDOS PA7 DI-5","","M 10.21 TURBINA MIUDOS PA7 DI-5",""
"M 10.22","VEN-05.04","","M 10.22 VEN-05.04",""
"M 10.23","GRUPO VEN-05.05 E VEN-05.06","","M 10.23 GRUPO VEN-05.05 E VEN-05.06",""
"M 10.24","VENTILADOR MIUDOS A7","","M 10.24 VENTILADOR MIUDOS A7",""
"M 10.25","VENTILADOR SALA DE MIUDOS A7","","M 10.25 VENTILADOR SALA DE MIUDOS A7",""
"M 10.26","ESTEIRA CONDICIONAIS 01 A13","","M 10.26 ESTEIRA CONDICIONAIS 01 A13",""
"M 10.27","ESTEIRA CONDICIONAIS 02 A13","","M 10.27 ESTEIRA CONDICIONAIS 02 A13",""
"M 10.28","PORTA A13","","M 10.28 PORTA A13",""
"M 12.1","ESTEIRA A11","","M 12.1 ESTEIRA A11",""
"M 12.2","ESTEIRA AEREA TILE II A11","","M 12.2 ESTEIRA AEREA TILE II A11",""
"M 12.3","ESTEIRA SAIDA BAADER 2","","M 12.3 ESTEIRA SAIDA BAADER 2",""
"M 12.4","LINHA CONE B A11","","M 12.4 LINHA CONE B A11",""
"M 12.6","EEC 12.6 A11","","M 12.6 EEC 12.6 A11",""
"M 12.7","ESTEIRA FILE BAADER A13","","M 12.7 ESTEIRA FILE BAADER A13",""
"M 12.11","12.11 A11 AREA DE PEITO 2","","M 12.11 12.11 A11 AREA DE PEITO 2",""
"M 12.12","ESTEIRA AEREA TILE II A11","","M 12.12 ESTEIRA AEREA TILE II A11",""
"M 12.14","FILE DE PEITO A11 FRENTE CM","","M 12.14 FILE DE PEITO A11 FRENTE CM",""
"M 12.15","ESTEIRA 12.15 ABAST. DO CHILLER","","M 12.15 ESTEIRA 12.15 ABAST. DO CHILLER",""
"M 12.17","12.17 A11 B8","","M 12.17 12.17 A11 B8",""
"M 12.18","12.18 A11","","M 12.18 12.18 A11",""
"M 12.19","ESTEIRA LATERAL LINHA DE CONS","","M 12.19 ESTEIRA LATERAL LINHA DE CONS",""
"M 12.25","ESTEIRA ACIMA MAREL TUMBLER A","","M 12.25 ESTEIRA ACIMA MAREL TUMBLER A",""
"M 12.26","12.26 SAIDA EMBALAGEM 13 A11","","M 12.26 12.26 SAIDA EMBALAGEM 13 A11",""
"M 12.27","ESTEIRA DORSO 2 CONE A11","","M 12.27 ESTEIRA DORSO 2 CONE A11",""
"M 12.28","A11 ESTEIRA SAIDA DO CORTE AUT","","M 12.28 A11 ESTEIRA SAIDA DO CORTE AUT",""
"M 12.29","ALIMENTADORA CONE A11","","M 12.29 ALIMENTADORA CONE A11",""
"M 12.30","A11 SEM INVERSOR NO LOCAL","","M 12.30 A11 SEM INVERSOR NO LOCAL",""
"M 12.31","EHZ 12.31 A12","","M 12.31 EHZ 12.31 A12",""
"M 12.32","PRINCIPAL PEITO E FILE A12","","M 12.32 PRINCIPAL PEITO E FILE A12",""
"M 12.33","PRINCIPAL COXA E ASA A12","","M 12.33 PRINCIPAL COXA E ASA A12",""
"M 12.34","ELEVATORIA SAIDA CONE A12","","M 12.34 ELEVATORIA SAIDA CONE A12",""
"M 12.35","ESTEIRA COXINHA DA ASA 12.35 A13","","M 12.35 ESTEIRA COXINHA DA ASA 12.35 A13",""
"M 12.36","ESTEIRA AEREA FILE A12","","M 12.36 ESTEIRA AEREA FILE A12",""
"M 12.37","12.37 ESTEIRA NOVA ASA A12","","M 12.37 12.37 ESTEIRA NOVA ASA A12",""
"M 12.38","EDL 12.38 B7 III","","M 12.38 EDL 12.38 B7 III",""
"M 12.39","SEM MOTOR B7 IV","","M 12.39 SEM MOTOR B7 IV",""
"M 12.41","SAMBIQUIRA A12 VELOCIDADE CONFIGURAVEL","","M 12.41 SAMBIQUIRA A12 VELOCIDADE CONFIGURAVEL",""
"M 12.42","ESTEIRA PELE BAADER A12","","M 12.42 ESTEIRA PELE BAADER A12",""
"M 12.43","ESTEIRA RETORNO DE FILE A12","","M 12.43 ESTEIRA RETORNO DE FILE A12",""
"M 12.44","SEM MOTOR","","M 12.44 SEM MOTOR",""
"M 12.45","ESTEIRA PE RESFRIAMENTO COM SENSOR","","M 12.45 ESTEIRA PE RESFRIAMENTO COM SENSOR",""
"M 12.48","ESTEIRA AEREA DO PEITO A12","","M 12.48 ESTEIRA AEREA DO PEITO A12",""
"M 12.49","LINHA DE CONE A12 LV.7.2","","M 12.49 LINHA DE CONE A12 LV.7.2",""
"M 12.50","MESA DE REFILE B19.02","","M 12.50 MESA DE REFILE B19.02",""
"M 12.52","ESTEIRA ELEVAT. CONE 1 A13","","M 12.52 ESTEIRA ELEVAT. CONE 1 A13",""
"M 12.53","ESTEIRA ELEVAT. CONE 2 A13","","M 12.53 ESTEIRA ELEVAT. CONE 2 A13",""
"M 12.55","12.55","","M 12.55 12.55",""
"M 12.56","SEM USO","","M 12.56 SEM USO",""
"M 12.57","SEM MOTOR","","M 12.57 SEM MOTOR",""
"M 12.58","ESTEIRA","","M 12.58 ESTEIRA",""
"M 12.59","ESTEIRA","","M 12.59 ESTEIRA",""
"M 12.60","SEM MOTOR","","M 12.60 SEM MOTOR",""
"M 12.80","12.80 A16","","M 12.80 12.80 A16",""
"M 12.81","12.81 A16","","M 12.81 12.81 A16",""
"M 12.82","FRONT HALF 2 CORTE 2 A16","","M 12.82 FRONT HALF 2 CORTE 2 A16",""
"M 12.83","FRONT HALF 1 CORTE 1 A16","","M 12.83 FRONT HALF 1 CORTE 1 A16",""
"M 12.84","ESTEIRA SAIDA BAADER 1 A16","","M 12.84 ESTEIRA SAIDA BAADER 1 A16",""
"M 12.85","ESTEIRA DE REFILE PORTA A16","","M 12.85 ESTEIRA DE REFILE PORTA A16",""
"M 12.86","ESTEIRA ASA AUT 02 A16","","M 12.86 ESTEIRA ASA AUT 02 A16",""
"M 12.87","ESTEIRA DORSO LINHA CONE A16","","M 12.87 ESTEIRA DORSO LINHA CONE A16",""
"M 12.88","FRONT HALF 02 CORTE 2 A16","","M 12.88 FRONT HALF 02 CORTE 2 A16",""
"M 12.89","ESTEIRA PEITO A16","","M 12.89 ESTEIRA PEITO A16",""
"M 12.90","ESTEIRA PEITO CORTE 2 A16","","M 12.90 ESTEIRA PEITO CORTE 2 A16",""
"M 12.91","ESTEIRA FILM 5 BAADER 2 A16","","M 12.91 ESTEIRA FILM 5 BAADER 2 A16",""
"M 12.95","ESTEIRA RETORNO DAS EMBALADORAS","","M 12.95 ESTEIRA RETORNO DAS EMBALADORAS",""
"M 12.96","ESTEIRA SASSAMI SAIDA BAADER A16","","M 12.96 ESTEIRA SASSAMI SAIDA BAADER A16",""
"EST13.00","ESTEIRA A16 M13.00","","EST13.00 ESTEIRA A16 M13.00",""
"M 13.1","VENTILADOR CORTES TEMPERADO B07","","M 13.1 VENTILADOR CORTES TEMPERADO B07",""
"M 13.2","VENTILADOR CORTES TEMPERADO B7","","M 13.2 VENTILADOR CORTES TEMPERADO B7",""
"M 13.3","VENTILADOR CORTES TEMPERADO B7","","M 13.3 VENTILADOR CORTES TEMPERADO B7",""
"M 13.4","VENTILADOR CORTES TEMPERADO B7","","M 13.4 VENTILADOR CORTES TEMPERADO B7",""
"M 13.5","VENTILADOR CORTES TEMPERADO B7","","M 13.5 VENTILADOR CORTES TEMPERADO B7",""
"M 13.6","VENTILADOR CORTES TEMPERADO B7","","M 13.6 VENTILADOR CORTES TEMPERADO B7",""
"M 13.7","VENTILADOR CORTES TEMPERADO B7","","M 13.7 VENTILADOR CORTES TEMPERADO B7",""
"M 13.8","VENTILADOR CORTES TEMPERADO B7","","M 13.8 VENTILADOR CORTES TEMPERADO B7",""
"M 13.9","B7","","M 13.9 B7",""
"M 13.10","ESTEIRA DEBAIXO MAREL TUMBLER B","","M 13.10 ESTEIRA DEBAIXO MAREL TUMBLER B",""
"M 13.11","ESTEIRA SAIDA TUMBLER B14","","M 13.11 ESTEIRA SAIDA TUMBLER B14",""
"M 13.12","INV A21 13 ESTEIRA TUMBLER","","M 13.12 INV A21 13 ESTEIRA TUMBLER",""
