"codigo","descricao","setor","termos_busca","observacao"
"ACA00.01","ARRANCADOR DE CABECA PAINEL","","ACA00.01 ARRANCADOR DE CABECA PAINEL",""
"EXT.PEL","EXTRATOR DE PELE PESCOCO PAINEL","","EXT.PEL EXTRATOR DE PELE PESCOCO PAINEL",""
"EST09.21","A12-25 GIRAFA DE SCARTE","","EST09.21 A12-25 GIRAFA DE SCARTE",""
"EST09.25","INV A12.21 ESTEIRA DE CLASSIFICACAO","","EST09.25 INV A12.21 ESTEIRA DE CLASSIFICACAO",""
"EST09.26","ESTEIRA DE BAIXO DA","","EST09.26 ESTEIRA DE BAIXO DA",""
"EST09.27","ESTEIRA DE CIMA DA","","EST09.27 ESTEIRA DE CIMA DA",""
"EST09.28","A13.02 ESTEIRA CLASSIFICACAO","","EST09.28 A13.02 ESTEIRA CLASSIFICACAO",""
"EST09.29","A13 PT FT","","EST09.29 A13 PT FT",""
"EST09.31","A13.03 ESTEIRA CLASSIFICACAO","","EST09.31 A13.03 ESTEIRA CLASSIFICACAO",""
"EST09.32","A13 PT M","","EST09.32 A13 PT M",""
"EST09.33","A13.04 ESTEIRA CM MI","","EST09.33 A13.04 ESTEIRA CM MI",""
"EST09.34","A13.06 ESTEIRA CX MI","","EST09.34 A13.06 ESTEIRA CX MI",""
"EST09.37","A13.05 ESTEIRA CURVES PT","","EST09.37 A13.05 ESTEIRA CURVES PT",""
"EST10.17","A12 ESTEIRA APOS SAIDA","","EST10.17 A12 ESTEIRA APOS SAIDA",""
"EST12.55","B21.07 ESTEIRA ELEV. OSSO CMS","","EST12.55 B21.07 ESTEIRA ELEV. OSSO CMS",""
"EST12.56","R22.07 ESTEIRA AEREA OSSO CMS","","EST12.56 R22.07 ESTEIRA AEREA OSSO CMS",""
"EST119.26","ESTEIRA ALIMENTADORA EMB 11","","EST119.26 ESTEIRA ALIMENTADORA EMB 11",""
"EST119.27","ESTEIRA ALIMENTADORA LATERAL EMBALAGEM","","EST119.27 ESTEIRA ALIMENTADORA LATERAL EMBALAGEM",""
"EST119.35","INV AT2-21 ESTEIRA DE CLASSIFICACAO","","EST119.35 INV AT2-21 ESTEIRA DE CLASSIFICACAO",""
"MOB-01.1","MOB-01.14 RESERVA LAVADORA DE CARCACA","","MOB-01.1 MOB-01.14 RESERVA LAVADORA DE CARCACA",""
"MOB-00.7","MOB-00.78 BOMBA LAVADORA DE CARCACA","","MOB-00.7 MOB-00.78 BOMBA LAVADORA DE CARCACA",""
"M 11.2","SEM MOTOR A7","","M 11.2 SEM MOTOR A7",""
"M 11.3","SEM MOTOR A7","","M 11.3 SEM MOTOR A7",""
"EST00.20","B21.05 REPRENDURA CORTE AUT 01","","EST00.20 B21.05 REPRENDURA CORTE AUT 01",""
"EST00.21","B21.06 REPRENDURA CORTE AUT 02","","EST00.21 B21.06 REPRENDURA CORTE AUT 02",""
"EST00.22","B21.08 GIRAFA PARA REPRENDURA C","","EST00.22 B21.08 GIRAFA PARA REPRENDURA C",""
"EST10.29","B20.02 ASA DO CORTE AUT. PARA","","EST10.29 B20.02 ASA DO CORTE AUT. PARA",""
"EST10.30","B20.06 ESTEIRA DE ASA PARA EMBALAGEM","","EST10.30 B20.06 ESTEIRA DE ASA PARA EMBALAGEM",""
"EST10.31","B19.10 SASSAMI REFILADO","","EST10.31 B19.10 SASSAMI REFILADO",""
"EST10.32","B19.09 SASSAMI PARA REFILE","","EST10.32 B19.09 SASSAMI PARA REFILE",""
"EST10.33","B19.12 ESTEIRA PARA PADRONIZACAO","","EST10.33 B19.12 ESTEIRA PARA PADRONIZACAO",""
"EST10.34","B19.06 DESCARTE SASSAMI","","EST10.34 B19.06 DESCARTE SASSAMI",""
"EST10.35","B19.04 GIRAFA PEITO PARA MARINADO","","EST10.35 B19.04 GIRAFA PEITO PARA MARINADO",""
"EST10.39","INV-B22.03 ESTEIRA AEREA PARA FOODMATE B","","EST10.39 INV-B22.03 ESTEIRA AEREA PARA FOODMATE B",""
"EST10.40","INV-B22.04 COXA E SOBRECOXA","","EST10.40 INV-B22.04 COXA E SOBRECOXA",""
"EST10.41","INV-B22.10 ELEVATORIA COXA SOBRECOXA","","EST10.41 INV-B22.10 ELEVATORIA COXA SOBRECOXA",""
"EST10.42","INV-B22.05 SAIDA BL DA FOODMATE","","EST10.42 INV-B22.05 SAIDA BL DA FOODMATE",""
"EST10.43","INV-B22.06 ELEVATORIA DE OSSO","","EST10.43 INV-B22.06 ELEVATORIA DE OSSO",""
"EST10.44","INV-B22.08 PENDURA COXA A SOBRECOXA","","EST10.44 INV-B22.08 PENDURA COXA A SOBRECOXA",""
"EST10.45","INV-B22.09 ESTEIRA REFILE","","EST10.45 INV-B22.09 ESTEIRA REFILE",""
"EST10.46","INV-B22.11 BLOCO PACOTE SELAGEM","","EST10.46 INV-B22.11 BLOCO PACOTE SELAGEM",""
"EST10.47","INV-B22.12 ESTEIRA ELEVATORIA","","EST10.47 INV-B22.12 ESTEIRA ELEVATORIA",""
"EST10.48","B20.13 ESTEIRA AEREA CORTES","","EST10.48 B20.13 ESTEIRA AEREA CORTES",""
"EST10.49","INV-B21.04 ESTEIRA AEREA SECUNDARIA","","EST10.49 INV-B21.04 ESTEIRA AEREA SECUNDARIA",""
"EST10.50","REFILE DE SHAWARMA B21.13","","EST10.50 REFILE DE SHAWARMA B21.13",""
"EST10.51","B21.11 ESTEIRA SOBREPOSTA SHAWARMA","","EST10.51 B21.11 ESTEIRA SOBREPOSTA SHAWARMA",""
"EST10.52","B21.12 DESCARTE DE SHAWARMA","","EST10.52 B21.12 DESCARTE DE SHAWARMA",""
"EST10.53","A22.02 SHAWARMA PARA SELAGEM","","EST10.53 A22.02 SHAWARMA PARA SELAGEM",""
"EST10.54","DESCARTE DE OSSO 01 B16 12.94","","EST10.54 DESCARTE DE OSSO 01 B16 12.94",""
"EST10.55","DESCARTE DE OSSO 02 CIRCUITO 12","","EST10.55 DESCARTE DE OSSO 02 CIRCUITO 12",""
"EST10.56","SAIDA DE OSSO DA MAYEKAWA 01","","EST10.56 SAIDA DE OSSO DA MAYEKAWA 01",""
"EST10.57","SAIDA DE OSSO DA MAYEKAWA 02","","EST10.57 SAIDA DE OSSO DA MAYEKAWA 02",""
"EST10.58","DESCARTE OSSO 03 A12","","EST10.58 DESCARTE OSSO 03 A12",""
"EST10.59","INV-B23.02 GIRAFA DE SHAWARMA","","EST10.59 INV-B23.02 GIRAFA DE SHAWARMA",""
"EST10.60","INV-B23.01 SHAWARMA PARA SECUNDARIO","","EST10.60 INV-B23.01 SHAWARMA PARA SECUNDARIO",""
"EST10.61","INV-B23.01 RETORNO DE BANDEJA","","EST10.61 INV-B23.01 RETORNO DE BANDEJA",""
"EST10.62","B20.08 ESTEIRA SOBREPOSTA PACOTE","","EST10.62 B20.08 ESTEIRA SOBREPOSTA PACOTE",""
"EST10.63","B19.11 SAIDA ASSIM DO CORTE","","EST10.63 B19.11 SAIDA ASSIM DO CORTE",""
"EST10.64","B20.03 ASA PARA ESTEIRA DE EMBALAGEM","","EST10.64 B20.03 ASA PARA ESTEIRA DE EMBALAGEM",""
"EST10.65","B20.10 ASA SHAWARMA AEREA","","EST10.65 B20.10 ASA SHAWARMA AEREA",""
"EST10.66","B20.03 GIRAFA FILE SASSAMI","","EST10.66 B20.03 GIRAFA FILE SASSAMI",""
"EST10.67","A22.09 ESTEIRA AEREA DE PERNAS","","EST10.67 A22.09 ESTEIRA AEREA DE PERNAS",""
"EST10.68","B19.11 ESTEIRA ELEVATORIA DE COXAS E SOBRECOXA","","EST10.68 B19.11 ESTEIRA ELEVATORIA DE COXAS E SOBRECOXA",""
"EST10.69","ESTEIRA AEREA DE COXAS B23.10","","EST10.69 ESTEIRA AEREA DE COXAS B23.10",""
"EST10.70","A22.07 ELEVATORIA DE SOBRECOXA","","EST10.70 A22.07 ELEVATORIA DE SOBRECOXA",""
"EST10.72","A20.10 ESTEIRA SAIDA DE OSSO","","EST10.72 A20.10 ESTEIRA SAIDA DE OSSO",""
"EST10.73","A22.04 ELEVATORIA SOBRECOXA","","EST10.73 A22.04 ELEVATORIA SOBRECOXA",""
"EST10.75","A22.05 ELEVATORIA SOBRECOXA CLASSIFICACAO","","EST10.75 A22.05 ELEVATORIA SOBRECOXA CLASSIFICACAO",""
"EST10.76","ESTEIRA PARA REFILE SASSAMI DO CORTE","","EST10.76 ESTEIRA PARA REFILE SASSAMI DO CORTE",""
"EST10.77","A22.06 ESTEIRA CENTRAL DESOSSA","","EST10.77 A22.06 ESTEIRA CENTRAL DESOSSA",""
"EST10.78","INV-B22.02 ESTEIRA DE BANDEJA","","EST10.78 INV-B22.02 ESTEIRA DE BANDEJA",""
"EST10.79","A22.04 ELEVATORIA SOBRECOXA D","","EST10.79 A22.04 ELEVATORIA SOBRECOXA D",""
"EST10.80","B20.03 GIRAFA ELEVATORIA S","","EST10.80 B20.03 GIRAFA ELEVATORIA S",""
"EST10.81","B21.09 ESTEIRA SOBREPOSTA CLASSIFICACAO","","EST10.81 B21.09 ESTEIRA SOBREPOSTA CLASSIFICACAO",""
"EST10.82","ESTEIRA AEREA DE CORTES B21.10","","EST10.82 ESTEIRA AEREA DE CORTES B21.10",""
"EST10.83","B21.09 ESTEIRA SOBREPOSTA CLASSIFICACAO","","EST10.83 B21.09 ESTEIRA SOBREPOSTA CLASSIFICACAO",""
"EST10.84","INV-B22.13 ESTEIRA ELEVATORIA","","EST10.84 INV-B22.13 ESTEIRA ELEVATORIA",""
"EST10.85","B21.03 ESTEIRA DE BANDEJA","","EST10.85 B21.03 ESTEIRA DE BANDEJA",""
"EST10.86","B21.01 ESTEIRA ENTRADA DA MESA","","EST10.86 B21.01 ESTEIRA ENTRADA DA MESA",""
"EST10.87","ESTEIRA MODULAR MOVEL EM CURVA D","","EST10.87 ESTEIRA MODULAR MOVEL EM CURVA D",""
"EST10.88","B20.11 ESTEIRA TILE DE PEITO","","EST10.88 B20.11 ESTEIRA TILE DE PEITO",""
"EST10.89","B20.12 ESTEIRA TILE DE PEITO","","EST10.89 B20.12 ESTEIRA TILE DE PEITO",""
"EST10.91","B21.02 ESTEIRA DE BANDEJA","","EST10.91 B21.02 ESTEIRA DE BANDEJA",""
"EST10.92","ESTEIRA AEREA DE BANDEJA","","EST10.92 ESTEIRA AEREA DE BANDEJA",""
"EST10.93","ESTEIRA MODULAR MOVEL EM CURVA D","","EST10.93 ESTEIRA MODULAR MOVEL EM CURVA D",""
"EST10.94","ESTEIRA RETORNO CORTES B03.08","","EST10.94 ESTEIRA RETORNO CORTES B03.08",""
